CCI;EMA;LEVERAGE;RATIO;MAX_ORDERS;ATR_Length;Coeff;Profit;Trade Count;Profitable Trade Percentage;Max Drawdown;Test Date
24;11;13;1,65;2;14;9,39;44987,25;91;65,93;14573,44;1721226591009
17;114;15;1,59;1;97;7,12;6869403,77;108;66,67;131867,22;1721267985741
17;114;15;1,59;1;70;7,23;5676121,28;108;66,67;90776,14;1721294319822
18;86;15;1,00;1;12;6,23;101440,76;184;65,22;163507,86;1721546331715
25;4;15;1,55;4;24;8,05;17590,82;98;65,31;3850,10;1721712926384
32;6;14;1,06;4;28;8,07;13165,96;114;66,67;5808,36;1721718988471
25;9;15;1,53;4;29;8,75;9353,47;100;71,00;3147,79;1721737178537
25;9;15;1,55;4;25;8,04;12268,73;99;67,68;4397,62;1721740632784
24;2;24;1,57;1;26;7,97;352,16;109;61,47;65,16;1721823924694
18;42;25;1,03;1;7;9,48;88,19;193;60,10;39,11;1721838955089
237;167;12;0,92;1;68;0,31;49,63;43;60,47;11,49;1721966319800
15;287;15;1,60;1;71;1,95;13,46;45;64,44;4,34;1722178877237
