CCI;EMA;LEVERAGE;RATIO;MAX_ORDERS;ATR_Length;Coeff;Profit;Trade Count;Profitable Trade Percentage;Max Drawdown;Test Date
88;238;13;0,15;3;4;0,99;1003,00;57;61,40;1907,12;1721119816809
23;222;15;0,19;1;43;0,25;71254,17;70;57,14;539516,39;1721127436316
125;58;8;3,28;5;64;2,03;-54,69;9;33,33;54,69;1721213945245
50;9;15;1,33;4;39;4,96;29680,75;69;65,22;6043,90;1721219003867
72;30;15;0,90;2;1;4,35;65574,67;65;69,23;2334,44;1721252664193
63;291;14;1,90;1;51;1,40;9972,99;57;68,42;5295,78;1721558161435
76;24;15;0,74;3;110;4,50;24945,22;65;67,69;10429,80;1721722322471
42;28;24;1,85;1;41;5,03;283,25;63;65,08;73,98;1721823470189
74;28;24;0,72;1;33;4,62;145,69;73;60,27;47,51;1721836089103
69;7;15;1,23;3;29;4,96;34,82;70;64,29;8,48;1721965163271
9;122;13;1,52;1;156;5,29;30,53;51;70,59;4,18;1722174386273
