CCI;EMA;LEVERAGE;RATIO;MAX_ORDERS;ATR_Length;Coeff;Profit;Trade Count;Profitable Trade Percentage;Max Drawdown;Test Date
80;35;14;0,85;1;142;4,42;4095733,27;64;64,06;95883,31;1721141063241
95;35;15;0,14;1;19;3,28;39633,24;63;71,43;5487,16;1721195411195
203;120;4;1,90;7;158;3,44;-2,36;23;39,13;4,00;1721214010460
;;;;;;;;25;103;12;1,14;1;20;6,09;41512,13;127;66,14;5382,91;1721221022166
18;281;13;2,12;1;28;6,22;1145603,44;55;67,27;156315,38;1721256898446
36;201;15;1,08;1;9;6,59;19958,47;102;66,67;5192,85;1721551313702
61;54;15;0,79;2;1;5,31;97471,69;78;69,23;1308,77;1721750718220
81;92;25;1,09;1;3;3,81;104,22;71;60,56;19,65;1721819668785
51;43;24;0,71;2;147;4,37;107,23;95;62,11;16,08;1721836931816
35;24;15;1,48;1;22;6,01;31,54;77;61,04;10,38;1721965485269
12;200;14;1,50;1;5;8,28;22,22;50;68,00;3,33;1722175444205
