CCI;EMA;LEVERAGE;RATIO;MAX_ORDERS;ATR_Length;Coeff;Profit;Trade Count;Profitable Trade Percentage;Max Drawdown;Test Date
73;86;15;0,81;1;157;8,93;5444658,76;60;71,67;285705,84;1721139516491
239;277;6;3,01;2;47;6,76;-55,43;3;33,33;71,34;1721196647143
73;86;15;0,81;1;160;8,93;4350099,17;60;70,00;228270,48;1721201407661
69;238;10;3,32;10;28;3,63;-23,55;11;45,45;23,55;1721213987931
74;81;15;0,80;1;152;8,90;15184893,38;61;70,49;604898,36;1721220424607
74;81;15;0,80;1;149;8,76;15184893,38;61;70,49;604898,36;1721255627283
74;80;15;0,80;1;160;8,59;8171074,53;59;69,49;218836,11;1721297291953
70;102;15;0,97;1;80;8,43;1817929,67;61;68,85;54051,48;1721547102468
71;97;15;0,95;1;147;8,86;1586427,70;60;73,33;15540,34;1721713670599
32;141;14;1,93;1;67;6,47;102,46;53;69,81;19,05;1721813529702
71;84;25;0,95;1;147;8,78;184,93;66;68,18;29,57;1721815895817
70;99;25;0,97;1;61;8,60;222,04;65;66,15;22,66;1721817470371
70;88;25;0,97;1;148;8,90;237,79;67;70,15;34,06;1721818437748
61;240;24;0,81;1;85;9,93;179,01;80;62,50;24,81;1721836640164
70;99;15;0,90;1;86;9,37;49,41;59;69,49;3,26;1721965414005
20;19;15;1,02;1;51;6,55;41,99;58;72,41;5,21;1722175165148
