CCI;EMA;LEVERAGE;RATIO;MAX_ORDERS;ATR_Length;Coeff;Profit;Trade Count;Profitable Trade Percentage;Max Drawdown;Test Date
15;56;8;1,31;1;3;1,50;1157,34;78;48,72;1932,70;1721118606727
14;200;8;0,18;1;37;1,30;4979,26;66;63,64;10310,73;1721118725657
16;81;15;0,14;1;45;0,40;87835,30;62;61,29;568514,27;1721121465262
14;24;15;1,49;1;197;9,98;124467756,90;145;68,97;60901835,32;1721132300493
48;146;13;0,18;1;188;8,34;7035,49;93;66,67;1759,72;1721213866125
199;277;5;3,61;1;5;0,96;-51,37;4;50,00;107,37;1721214039763
39;261;15;0,18;1;34;2,74;470,22;57;68,42;71,87;1721214515331
14;47;14;1,49;1;15;9,11;3378664,73;147;65,99;400932,27;1721215362110
14;24;15;1,49;1;193;9,93;51874020,29;150;70,00;7830765,56;1721216495593
14;24;15;1,49;1;198;10,00;72407986,01;147;71,43;10930512,59;1721247567025
14;24;15;1,50;1;187;9,82;38732937,45;147;70,75;5847025,51;1721288465706
12;20;14;1,46;1;185;9,92;64472868,58;165;69,70;10267650,50;1721293030598
15;25;15;1,44;1;198;9,95;715024,52;140;68,57;172128,19;1721541272778
15;25;15;1,45;1;198;9,96;680657,36;136;68,38;214760,26;1721544605267
12;21;15;1,46;1;131;9,75;1754104,18;160;65,63;379001,46;1721711562220
14;7;25;1,49;1;185;9,29;154,35;147;65,31;44,86;1721816647381
76;6;25;0,91;2;56;5,21;221,04;66;63,64;28,79;1721818922341
15;23;22;1,41;1;112;6,68;90,54;103;64,08;20,14;1721835200049
65;13;25;0,93;2;13;9,16;209,67;77;64,94;51,12;1721835406465
