timestamp,open,high,low,close,volume,quote_volume
1704068100000,0.2253,0.2259,0.2237,0.2241,741147.4,166706.505
1704069000000,0.2241,0.2252,0.2238,0.2252,246444.3,55283.67367
1704069900000,0.2252,0.2257,0.2245,0.2255,243518.8,54824.31361
1704070800000,0.2255,0.226,0.2242,0.2257,264033.7,59380.62397
1704071700000,0.2257,0.2262,0.225,0.2256,196305.5,44328.92792
1704072600000,0.2256,0.2268,0.2256,0.2262,572379.6,129511.93491
1704073500000,0.2262,0.2265,0.2259,0.2261,171174.8,38716.94888
1704074400000,0.2261,0.2262,0.2249,0.2252,235291.4,52998.18255
1704075300000,0.2252,0.2259,0.2249,0.2259,120401.6,27150.07005
1704076200000,0.2259,0.2261,0.2247,0.2248,381879.2,86135.69755
1704077100000,0.2248,0.2248,0.2241,0.2242,211982.4,47572.25382
1704078000000,0.2242,0.2244,0.2231,0.2232,383553.3,85869.39102
1704078900000,0.2232,0.2235,0.2224,0.2225,322913.1,72002.16535
1704079800000,0.2225,0.2234,0.2215,0.2223,312508,69459.14013
1704080700000,0.2223,0.2229,0.2215,0.2224,278062.3,61774.40092
1704081600000,0.2224,0.2227,0.2209,0.2213,401204.7,89018.32332
1704082500000,0.2213,0.2215,0.2199,0.2206,508937.5,112292.04235
1704083400000,0.2206,0.2216,0.2203,0.221,604642.4,133721.05084
1704084300000,0.221,0.222,0.2208,0.2219,245609.4,54371.4945
1704085200000,0.2219,0.2225,0.2215,0.2225,163407.5,36287.52987
1704086100000,0.2225,0.2225,0.2209,0.2214,550871,121918.57604
1704087000000,0.2214,0.2217,0.2208,0.2214,177924.5,39382.87318
1704087900000,0.2214,0.2214,0.2202,0.2207,137640,30360.82925
1704088800000,0.2207,0.2211,0.2203,0.2207,207887,45892.92377
1704089700000,0.2207,0.2215,0.2206,0.2211,103522.6,22885.28173
1704090600000,0.2211,0.2216,0.221,0.2213,348607.6,77094.17283
1704091500000,0.2213,0.2218,0.2213,0.2215,80695.3,17873.90436
1704092400000,0.2215,0.222,0.2214,0.2216,230703.8,51162.10918
1704093300000,0.2216,0.2216,0.2207,0.2213,165857.2,36677.177
1704094200000,0.2213,0.2223,0.2211,0.2215,253395.9,56196.74288
1704095100000,0.2215,0.2224,0.2214,0.2221,286349.2,63556.79053
1704096000000,0.2221,0.223,0.2221,0.223,231912,51600.40145
1704096900000,0.223,0.224,0.2227,0.2231,692294.2,154663.10224
1704097800000,0.2231,0.2241,0.2225,0.2241,269728.4,60246.39052
1704098700000,0.2241,0.2251,0.2241,0.2247,310133.5,69708.55986
1704099600000,0.2247,0.225,0.2238,0.2241,152941.9,34279.07286
1704100500000,0.2241,0.225,0.2241,0.2243,87145.5,19564.55609
1704101400000,0.2243,0.2254,0.2242,0.2249,143007.5,32138.63466
1704102300000,0.2249,0.2252,0.2247,0.2249,233093.9,52441.36281
1704103200000,0.2249,0.2253,0.2246,0.2246,425187.1,95658.03013
1704104100000,0.2246,0.2248,0.2243,0.2243,241358.5,54191.9099
1704105000000,0.2243,0.2249,0.2243,0.2248,221229.4,49725.37555
1704105900000,0.2248,0.2253,0.2246,0.2246,107277.9,24136.12762
1704106800000,0.2246,0.2253,0.2245,0.2249,197939.3,44533.34825
1704107700000,0.2249,0.2252,0.224,0.2243,279431.3,62715.34465
1704108600000,0.2243,0.2247,0.2241,0.2243,324255.9,72761.65628
1704109500000,0.2243,0.2248,0.224,0.2247,92017.1,20642.42984
1704110400000,0.2247,0.2253,0.2247,0.2249,272924.5,61390.36169
1704111300000,0.2249,0.2263,0.2247,0.2262,358339.6,80906.94184
1704112200000,0.2262,0.2271,0.226,0.2269,191070.9,43286.64003
1704113100000,0.2269,0.2279,0.2264,0.2272,296103.9,67303.13609
1704114000000,0.2272,0.2277,0.2261,0.2277,449927.4,102082.84131
1704114900000,0.2277,0.2278,0.2271,0.2273,656352.8,149293.0196
1704115800000,0.2273,0.2275,0.2267,0.2272,537106.1,121961.7014
1704116700000,0.2272,0.2278,0.2269,0.2271,134320.5,30553.70524
1704117600000,0.2271,0.2272,0.2256,0.226,551047.6,124653.51002
1704118500000,0.226,0.2269,0.2258,0.2263,143702.3,32562.86665
1704119400000,0.2263,0.2269,0.2257,0.2262,527574.4,119434.73102
1704120300000,0.2262,0.2266,0.2258,0.2266,261559.4,59173.89499
1704121200000,0.2266,0.2272,0.2266,0.2271,126754,28756.73194
1704122100000,0.2271,0.2286,0.2268,0.2281,812520,185365.85391
1704123000000,0.2281,0.2284,0.2274,0.2284,332138.4,75723.48335
1704123900000,0.2284,0.23,0.2281,0.2294,470317.1,107682.13888
1704124800000,0.2294,0.2308,0.2294,0.2304,449575.2,103498.75447
1704125700000,0.2304,0.2311,0.2293,0.2304,1088020.2,250252.29554
1704126600000,0.2304,0.2314,0.2301,0.2309,614112.7,141771.32064
1704127500000,0.2309,0.2313,0.23,0.2304,689298.8,158900.73903
1704128400000,0.2304,0.2329,0.2302,0.2326,605012,140237.46215
1704129300000,0.2326,0.2327,0.2314,0.2325,250922.6,58253.89935
1704130200000,0.2325,0.2325,0.2309,0.2315,442664.2,102412.45377
1704131100000,0.2315,0.2324,0.2314,0.2323,517751.8,120082.99554
1704132000000,0.2323,0.2332,0.2322,0.2331,573645.9,133509.98642
1704132900000,0.2331,0.2338,0.2328,0.2332,728149.3,169878.51625
1704133800000,0.2332,0.2334,0.2324,0.2332,439846.9,102447.71375
1704134700000,0.2332,0.2344,0.2331,0.2333,693045.8,162091.58026
1704135600000,0.2333,0.2348,0.2333,0.2346,669207.4,156752.81745
1704136500000,0.2346,0.235,0.2343,0.2346,409817.5,96178.5597
1704137400000,0.2346,0.235,0.2342,0.2345,475061,111440.79871
1704138300000,0.2345,0.236,0.2344,0.2357,744634.8,175249.3323
1704139200000,0.2357,0.2371,0.2356,0.2369,1083475.5,256270.27041
1704140100000,0.2369,0.2377,0.2367,0.2371,741811.9,175868.54787
1704141000000,0.2371,0.2373,0.236,0.2366,1097100,259263.23599
1704141900000,0.2366,0.2382,0.2364,0.2375,775663.2,184411.42279
1704142800000,0.2375,0.2379,0.2367,0.2371,1315109.1,312062.64614
1704143700000,0.2371,0.2372,0.2356,0.2359,696171.8,164478.79819
1704144600000,0.2359,0.2368,0.2354,0.2365,424046.2,100167.9561
1704145500000,0.2365,0.2375,0.2364,0.2371,275373.2,65293.12661
1704146400000,0.2371,0.238,0.2368,0.238,732625.6,173939.10115
1704147300000,0.238,0.2389,0.237,0.2388,923719,219696.97785
