timestamp,open,high,low,close,volume,quote_volume
1704068100000,6.927,6.931,6.747,6.775,485578.6,3308849.2285
1704069000000,6.775,6.889,6.747,6.85,295406.1,2015698.24
1704069900000,6.85,6.868,6.8,6.866,103078.2,704955.6818
1704070800000,6.866,6.866,6.777,6.832,212822.3,1448422.6816
1704071700000,6.832,6.851,6.771,6.83,150913.5,1028393.3398
1704072600000,6.83,6.869,6.799,6.862,129975.8,889132.7466
1704073500000,6.862,6.932,6.847,6.925,138586.9,955898.6741
1704074400000,6.925,6.99,6.88,6.987,136396.5,944493.0683
1704075300000,6.987,7.054,6.942,7.004,302297,2116726.2094
1704076200000,7.004,7.177,7.004,7.14,591675.2,4211254.5902
1704077100000,7.14,7.14,7.031,7.096,260368.9,1845018.7788
1704078000000,7.096,7.097,7.033,7.05,150742.9,1065285.2644
1704078900000,7.05,7.088,6.942,7.009,346652,2422865.2465
1704079800000,7.009,7.015,6.784,6.923,672170.3,4633334.6745
1704080700000,6.923,6.954,6.866,6.887,369209.1,2552617.36
1704081600000,6.887,6.996,6.863,6.924,309729.2,2149009.3965
1704082500000,6.924,6.924,6.761,6.832,375850.3,2566295.3865
1704083400000,6.832,6.862,6.767,6.811,168804.8,1150688.9222
1704084300000,6.811,6.819,6.741,6.817,276538.2,1874635.742
1704085200000,6.817,6.884,6.806,6.882,186849.5,1280267.266
1704086100000,6.882,6.902,6.851,6.861,135783.8,933715.7807
1704087000000,6.861,6.906,6.812,6.879,229898.3,1577499.0441
1704087900000,6.879,6.896,6.789,6.829,114413.8,782058.8881
1704088800000,6.829,6.984,6.826,6.981,253282.9,1752358.965
1704089700000,6.981,7.024,6.935,7.004,242803.7,1696498.6877
1704090600000,7.004,7.105,6.99,7.06,275317.7,1945842.4865
1704091500000,7.06,7.084,6.994,7.008,269162.6,1894080.1617
1704092400000,7.008,7.063,6.996,7.043,191588.1,1347720.0827
1704093300000,7.043,7.046,6.914,6.978,211512.9,1471058.9438
1704094200000,6.978,6.991,6.876,6.895,249761.3,1735342.7699
1704095100000,6.895,6.997,6.895,6.994,180081,1251328.3515
1704096000000,6.994,7.123,6.979,7.109,488794.2,3446478.3608
1704096900000,7.109,7.164,7.079,7.125,417549.2,2976786.2994
1704097800000,7.125,7.182,7.036,7.175,341371.4,2426049.6195
1704098700000,7.175,7.175,7.106,7.153,210329.2,1502178.6549
1704099600000,7.153,7.3,7.148,7.244,356465.8,2580323.1967
