timestamp,open,high,low,close,volume,quote_volume
1704068100000,6.855,6.864,6.783,6.809,10795.4,73654.5171
1704069000000,6.809,6.831,6.797,6.828,11996,81822.6125
1704069900000,6.828,6.833,6.82,6.827,6007,41017.0014
1704070800000,6.827,6.835,6.814,6.817,5445.8,37144.7925
1704071700000,6.817,6.847,6.814,6.839,5110.5,34878.1275
1704072600000,6.839,6.856,6.837,6.855,6858.8,46953.4429
1704073500000,6.855,6.868,6.852,6.858,3251.6,22306.7694
1704074400000,6.858,6.858,6.824,6.831,8790.9,60110.1393
1704075300000,6.831,6.832,6.818,6.83,2003.8,13677.06
1704076200000,6.83,6.837,6.809,6.811,6625.5,45220.8079
1704077100000,6.811,6.811,6.787,6.796,7581,51530.5838
1704078000000,6.796,6.806,6.765,6.765,9716,65910.7817
1704078900000,6.765,6.767,6.735,6.743,8470.4,57175.1262
1704079800000,6.743,6.758,6.709,6.725,13774.3,92622.9469
1704080700000,6.725,6.739,6.712,6.719,12239.4,82309.6339
1704081600000,6.719,6.743,6.681,6.69,18867.5,126692.0111
1704082500000,6.69,6.692,6.633,6.666,18300,121868.4747
1704083400000,6.666,6.69,6.664,6.679,4491.4,30004.4875
1704084300000,6.679,6.697,6.672,6.695,6603.2,44159.2579
1704085200000,6.695,6.709,6.681,6.709,5756.2,38522.671
1704086100000,6.709,6.72,6.701,6.708,16618.8,111500.7445
1704087000000,6.708,6.721,6.683,6.696,14298.2,95829.4394
1704087900000,6.696,6.696,6.661,6.674,7367.1,49163.0676
1704088800000,6.674,6.695,6.672,6.675,7120.4,47588.0325
1704089700000,6.675,6.691,6.673,6.686,3649.7,24386.4562
1704090600000,6.686,6.72,6.684,6.707,6272.7,42072.4542
1704091500000,6.707,6.727,6.707,6.716,8145.6,54703.8752
1704092400000,6.716,6.719,6.711,6.711,2356.5,15826.6016
1704093300000,6.711,6.711,6.683,6.695,7285.4,48786.0664
1704094200000,6.695,6.746,6.693,6.73,8457.2,56829.3127
1704095100000,6.73,6.736,6.718,6.725,4662.7,31358.2422
1704096000000,6.725,6.74,6.72,6.738,4117.3,27706.927
1704096900000,6.738,6.748,6.72,6.73,7981.6,53750.4282
1704097800000,6.73,6.734,6.721,6.73,2133.2,14352.3834
1704098700000,6.73,6.751,6.729,6.751,2659.3,17924.9453
1704099600000,6.751,6.758,6.737,6.745,5183.9,34974.0172
1704100500000,6.745,6.766,6.745,6.753,3571.3,24133.818
1704101400000,6.753,6.768,6.753,6.764,1910,12914.9453
1704102300000,6.764,6.771,6.758,6.763,2946.6,19928.4565
1704103200000,6.763,6.77,6.758,6.763,4867.9,32934.9965
1704104100000,6.763,6.775,6.763,6.767,1560.1,10560.795
1704105000000,6.767,6.778,6.76,6.77,11411.1,77224.9263
1704105900000,6.77,6.781,6.77,6.78,1500.8,10172.8071
1704106800000,6.78,6.785,6.776,6.782,2570.4,17427.4207
1704107700000,6.782,6.784,6.765,6.768,2869.8,19437.1857
1704108600000,6.768,6.77,6.757,6.757,3200.7,21647.23
1704109500000,6.757,6.768,6.747,6.768,3087.1,20858.2884
1704110400000,6.768,6.774,6.747,6.747,13844.9,93644.0556
1704111300000,6.747,6.766,6.747,6.766,933.8,6310.3859
1704112200000,6.766,6.785,6.766,6.785,5317.3,36032.0788
1704113100000,6.785,6.796,6.777,6.78,6164.5,41841.0206
1704114000000,6.78,6.786,6.769,6.777,4328.6,29331.6881
1704114900000,6.777,6.794,6.774,6.792,10058.3,68207.0625
1704115800000,6.792,6.792,6.78,6.787,4528.6,30724.4278
1704116700000,6.787,6.788,6.783,6.788,1946.9,13214.0668
1704117600000,6.788,6.788,6.743,6.762,8805.9,59521.2852
1704118500000,6.762,6.767,6.758,6.763,1808.2,12229.0926
1704119400000,6.763,6.777,6.757,6.767,3120.8,21120.5857
1704120300000,6.767,6.77,6.756,6.761,2475.1,16734.6401
1704121200000,6.761,6.766,6.756,6.766,1976.3,13361.9389
1704122100000,6.766,6.792,6.765,6.786,1456,9869.5317
1704123000000,6.786,6.788,6.767,6.784,4592.9,31126.6087
1704123900000,6.784,6.801,6.775,6.799,4973.9,33769.314
1704124800000,6.799,6.837,6.795,6.824,15985.8,108985.3818
1704125700000,6.824,6.827,6.774,6.795,18029.2,122465.6171
1704126600000,6.795,6.804,6.788,6.804,1426.9,9698.5185
1704127500000,6.804,6.805,6.795,6.798,966.4,6573.5545
1704128400000,6.798,6.814,6.795,6.808,2621.4,17839.5445
1704129300000,6.808,6.817,6.801,6.816,1295.8,8824.564
1704130200000,6.816,6.817,6.793,6.795,1765.5,12015.0228
1704131100000,6.795,6.822,6.792,6.818,4350.9,29633.4104
1704132000000,6.818,6.83,6.817,6.83,4132.5,28193.359
1704132900000,6.83,6.85,6.83,6.843,4297.1,29396.1246
1704133800000,6.843,6.843,6.814,6.821,9456.4,64524.6536
1704134700000,6.821,6.827,6.816,6.82,2308.5,15744.3368
1704135600000,6.82,6.831,6.817,6.827,3407.8,23256.108
1704136500000,6.827,6.855,6.823,6.853,2400.5,16409.7304
1704137400000,6.853,6.866,6.849,6.852,3031.1,20786.0867
